web-scraper-order,titre_poste,url,ref_offre,intitule_poste,descri_mission,profil
1720689334-1,Agent d'Accueil et d'Entretien Piscines H/F,Agent d'Accueil et d'Entretien Piscines H/F,Réf. : 2023-7113,Agent d'Accueil et d'Entretien Piscines H/F,"Au sein des piscines de la Ville de Nantes, vos missions sont :  Accueil - Accueillir, orienter et informer les usagers, assurer l’accueil téléphonique - Contrôler les accès à l’établissement (entrées / sorties des usagers)  Entretien - Effectuer l’entretien des locaux de l’ensemble de l’établissement sur la base du protocole de nettoyage - Réaliser l’entretien des abords extérieurs immédiats de l’établissement -Informer des dégradations constatées dans l’équipement et aux abords  Tenue de caisse - Tenir la caisse : délivrer les droits d’entrée (cartes d’abonnements, tickets unitaires etc.) et procéder aux encaissements - Effectuer la tenue de la régie : ouverture et fermeture de caisse, fond de caisseHoraires liés à l'ouverture des équipements avec 2 amplitudes possibles: 6h30/20h30 et 7h/22h30.Travail le week-end en rotation toutes les 3 semaines en moyenne (1 week-end sur 3).",Maîtriser les techniques de nettoyage Connaître les règles d’hygiène et sécurité et l'utilisation des produits et matérielsAvoir une 1ère expérience en accueil et être en capacité à gérer des situations difficiles Aptitude au travail en équipe et par roulement Être mobile sur les amplitudes de travail (6h30/22h30)
1720689334-136,Chargé d'accompagnement des entreprises via le dispositifs clauses sociales H/F,Chargé d'accompagnement des entreprises via le dispositifs clauses sociales H/F,Réf. : 2024-9820,Chargé d'accompagnement des entreprises via le dispositifs clauses sociales H/F,"Dans le cadre de la mise en œuvre du dispositif des clauses sociales, plus généralement dans un contexte d’achat responsable, sous la responsabilité de la Responsable de Mission, et au sein d’une équipe de 7 personnes (dont 3 en charge de l’accompagnement entreprises), vous accompagnez les acheteurs ainsi que les entreprises de la métropole nantaise afin d’impulser et concrétiser la mise en œuvre de parcours d’insertion de qualité via les marchés publics.  Dans un environnement partenarial composé à la fois d’acheteurs publics divers (directions de Nantes Métropole et de la Ville de Nantes, communes, bailleurs, aménageurs, services de l’état, organismes para-publics…) et d’entreprises, en collaboration étroite avec les autres agents de la Mission et avec l’appui de la Direction de la commande publique de Nantes Métropole, l’agent.e : Accompagne les entreprises dans la mise en œuvre du dispositif :participer à la réunion de lancement du marché en présence de l’entreprise attributaireaccompagner les entreprises dans la mise en œuvre du dispositif (s’assurer de l’éligibilité des personnes en insertion)Sécuriser les partenariats avec les entreprises en assurant leur mise en relation avec les prescripteurs de publics et opérateurs d'insertionParticiper à l'accompagnement des entreprises et le lien avec les partenaires en cas d'embauche directe Activité secondaire :Contribuer à l’évaluation qualitative et quantitative du dispositif clause sociale en assurant le reporting de son activité par le biais d'un logiciel métier (logiciel Clause) et d’indicateurs de suivi.","Connaissances du cadre juridique de l’achat socialement responsable et notamment du dispositif des clauses sociales.Connaissances également de l’environnement partenarial, notamment les donneurs d’ordre et les Structures d’Insertion par l’Activité Économique (SIAE) ainsi que les acteurs institutionnels de l’insertion.Rédaction de différents types de documents, notamment juridiques (compte-rendus, notes d’aide à la décision…).Aisance communicationnelle et rédactionnelle.Capacités de négociation et d’animation/conduite d’entretiens et/ou réunions.Facilité et goût du travail en équipe.Respect du règlement général de protection des données. Le poste vous intéresse, rejoignez-nous !"
1720689354-2,Chauffeur PL,Chauffeur PL,Réf. : 2023-6885,Chauffeur PL,"Rattaché·e à l'encadrant, vous intervenez en tant que chauffeur·se PL sur les missions suivantes :Conduire les véhicules de collecte dans le respecte des différentes règles en vigueur.Assurer la vidange sur les sites de traitement en respectant les consignes de sécurité.Assurer le contrôle et l'entretien courant du véhicule (contrôles divers, plein de carburant, nettoyage...).Identifier et signaler les dysfonctionnements liés aux véhicules et matériels.Assurer la remontée des informations au sein du service en utilisant notamment les documents de travail.Veiller à la sécurité des usagers tout au long de la missions.","Doté·e d'un sens du relationnel et du travail en équipe, vous savez également vous adapter aux contraintes du terrain en préservant la sécurité des personnels et du matériel.Vous disposez d'une bonne condition physique.Votre sens du service public, votre courtoisie et votre respect auprès des usager·ères sont des véritables atouts.Permis PL et VL
 FIMO / FCOLe poste vous intéresse, rejoignez-nous !"
1720689354-137,Responsable de proximité Maintenance Générale H/F,Responsable de proximité Maintenance Générale H/F,Réf. : 2024-10180,Responsable de proximité Maintenance Générale H/F,"Assurer la gestion de l’activité de maintenance – dépannage et le management opérationnel de l’équipe chargée de réaliser ces interventions de maintenance polyvalente des bâtiments de la Ville de Nantes et de Nantes Métropole et de leurs équipements dans un secteur géographique donné (tous bâtiments confondus hors CCAS)Gestion, coordination et contrôle de l’activité Assurer le suivi des interventions du personnel en régie et des entreprises. Faire le lien avec les services demandeurs (gestionnaires patrimoine du BATII, interlocuteurs des directions).Assurer le suivi administratif des interventions : renseigner les bons d’interventions dans le logiciel métier, transmettre des données aux autres secteurs concernés (notamment comptabilité), clôturer les interventions.Réaliser des bilans d’activité.S’assurer de l’application des normes techniques et de la bonne mise en œuvre des matériaux.Assurer un lien entre les autres secteurs de la DAEELE intervenant sur les bâtiments, en particulier assurer un appui terrain au secteur contratsContribuer à l’analyse de l’organisation pour identifier les ajustements, être force de proposition et contribuer à faire évoluer l’organisation, dans l’objectif d’harmonisation autant que possible.Encadrement d’une équipe de 5 adjoints techniques et d’1 agent de maîtrisePlanifier la charge de travail, organiser et coordonner les interventions des agents en maintenance et dépannage.Veiller au respect des consignes et règlements de sécurité.Assurer l’échange d’informations au sein de l’équipe, auprès des usagers et envers le responsable de service.Assurer les relations et la coordination avec l'ensemble des services de la DAEELE Centralisation des commandes, coordination du matériel en relation avec le magasin, optimisation des livraisons et des retraits, gestion du matériel démonté en stock.En relation avec la fabrication en atelier mettre en place un suivi des pièces demandées.Participer à l’élaboration du PPI entretien durableIdentification des sites et des interventions à planifier.Collaboration avec les gestionnaires de patrimoine des Pôles Conservation et Amélioration du Patrimoine.Assurer en appui des autres agents de la MG des activités liées aux chantiers transversaux (traçage, etc).

Intègre à ses activités les attentes de la certification qualité, sécurité et environnementRespecter et faire respecter les directives et procédures en matière d'Hygiène-Sécurité, Environnement et Qualité,Communiquer à sa hiérarchie les anomalies rencontrées et les risques engendrés, et participe à leur résolutionContribuer aux actions collectives visant l'amélioration des conditions de travail : évaluation des risques, prérequis techniques, établissement de guides, …Agir dans son travail en recherchant la sécurité pour tous, la satisfaction des partenaires du BATII, la réduction de nos impacts environnementaux.","Maîtrise connaissance des bâtiments tous corps d'étatConnaissance des règles de sécurité, notamment dans les ERPBonne connaissance de l’organisation et du fonctionnement de la collectivité, du BATII (secteurs, procédures, circuit d’information) et des partenaires (autres directions).Capacité à animer une équipe et à manager une section opérationnelle, notamment en assurant l’adéquation des moyens par rapport aux missions.Maîtrise des techniques relatives à son domaine de compétences et plus particulièrement en électricité.Conduite d’un véhicule léger.Utilisation quotidienne de l’outil informatique.Capacité à expliquer et à faire appliquer les règles et procédures internes (notamment en termes de sécurité).Respecter et faire respecter les principes déontologiques de la fonction publiquePort des EPILe poste vous intéresse, rejoignez-nous !"
1720689374-138,Maîtres nageurs sauveteurs SAISON ETE 2024 H/F,Maîtres nageurs sauveteurs SAISON ETE 2024 H/F,Réf. : 2024-9299,Maîtres nageurs sauveteurs SAISON ETE 2024 H/F,"Dans le cadre de la saison été 2024,  de début juin à septembre nous recherchons des Maîtres Nageur·euse·s Sauveteur·euse·s 

Rattaché·e au Responsable piscine, vous êtes également sous la responsabilité des chefs de bassins sur place.Vous veillez à la sécurité de l'ensemble des usagers de la piscine et réalisez des interventions pédagogiques en milieu aquatique. Vos missions s'articuleront autour des axes suivants :Hygiène et sécurité des personnes et des biens :
- Assure l’ouverture et la fermeture de l’établissement,
- S’assure des conditions d’hygiène (P.O.S.S : Plan d’Organisation des Secours, cahier sanitaire),
- Assure la surveillance et la sécurité des personnes et des biens,
- Applique et fait respecter le règlement intérieur et les règles définies par le P.O.S.S,
- Applique le schéma de la sécurité au travail,
- Assure la responsabilité de l'établissement, par délégation, en l'absence du chef de bassin,
- Effectue l’entretien des parties communes affectées au personnel ETAPS ainsi que l’entretien et le
rangement du matériel pédagogique,
- Contribue à l’entretien général de l’établissementEnseignement :
- Prépare, rédige et met en œuvre les projets pédagogiques en lien avec les enseignants,
- assure la conduite des séances,
- Evalue le niveau d’acquisition des élèves,
- Participe à la rédaction des projets pédagogiques d’enseignement de la natation à destination des publics
ciblés par la politique sportive et assure leur mise en œuvre.
Accueil :
- Accueille, informe et renseigne les différents publics,
- Gère la cohabitation entre les différents publics de l’établissement.
Animation d’activités aquatiques :
- Propose, élabore et formalise des animations régulières en direction de tous les publics,
- Participe à la mise en oeuvre des projets d’animation liés à la politique sportive municipale (Bouge ton Eté,
Sportez-vous bien les filles etc.). Vous serez amené·e à travailler par roulement, incluant des week-ends.","Connaissances :
▪ Titulaire d’un titre de MNS et être à jour dans ses recyclages
▪ Connaissance du POSS et de la règlementation des ERP
▪ Connaissance de l’environnement réglementaire des activités aquatiques
▪ Connaissance de la politique sportive municipale
▪ Connaissance en matière de méthodologie de projetSavoir-faire :
▪ Maîtrise et application des gestes de 1er secours
▪ Capacité à identifier, à prévenir les comportements ou situations à risque et à réguler les conflits
▪ Maîtrise des techniques d’animation de groupe et des techniques pédagogiques
▪ Savoir élaborer, rédiger et mettre en œuvre un projet
Aptitudes transversales ou spécifiques :
▪ Qualités relationnelles et aptitude au travail en équipe et avec l’ensemble des personnels de l’établissement
▪ Force de proposition
▪ Capacité à être à l’écoute des usagersLe poste vous intéresse, rejoignez-nous ! Merci de préciser dans votre CV votre disponibilité."
1720689375-3,Agent d'accompagnement à l'éducation de l'enfant H/F,Agent d'accompagnement à l'éducation de l'enfant H/F,Réf. : 2023-6910,Agent d'accompagnement à l'éducation de l'enfant H/F,"Pour assurer le suivi d’enfants, le PRE (Programme de Réussite Educative) est amené à recruter des intervenants tout au long de l'année scolaire.Votre rôle sera d'accompagner un enfant (de 2 à 16 ans) et/ou un petit collectif d’enfants, sur des objectifs personnalisés (ouverture culturelle, accompagnement à la scolarité, soutien méthodologique, soutien à la parentalité...).Vos interventions pourront se faire à domicile ou dans un lieu ressource (école, centre socioculturel du quartier, médiathèque…), en sortie culturelle.Les accompagnements se feront après l’école et/ou le mercredi après-midi (lundi, mardi, jeudi, vendredi entre 16h et 18h30 et mercredi après-midi de 13h30 à 18h30)
En lien direct avec le référent de parcours PRE, vos missions sont :Favoriser l’épanouissement éducatif de l’enfant en construisant avec lui une relation de confiance et le plaçant en situation de réussite.Préparer et animer chaque séance d’activité (soit à partir de l’existant soit en innovant).Sensibiliser, mobiliser, impliquer les parents dans le parcours éducatif.Participer à l’évaluation des évolutions de l’enfant ou du jeune au regard des objectifs fixés.Le contrat et la rémunération sont :Arrêté de recrutement de personnel vacataire, établi pour une année scolaire.
Rémunération : 13,29 €/brut de l’heure, rémunération le mois suivant le mois travaillé
Volume horaire : variable selon vos disponibilités","Vous souhaitez enrichir vos connaissances du système éducatif au sens large, participer à un réseau de professionnels et partenariaux (associations du quartier, institutions...) et développer vos compétences sociales et interculturelles.
Vous avez le sens de l'engagement, vous avez des aptitudes  à encadrer, animer des séances pour des enfants et adolescents.
Vous aimez être autonome, vous êtes reconnu·e pour vos qualités relationnelles
Si vous vous reconnaissez dans cette mission n'hésitez pas à déposer votre CV et lettre de motivation."
1720689394-4,Gestionnaire parc auto,Gestionnaire parc auto,Réf. : 2023-7264,Gestionnaire parc auto,"Vous assurez la gestion du parc de véhicules et engins à moteurs du pôle assainissementPour ce faire, vous organisez la maintenance préventive, curative des véhicules et engins. Entre autres, vous réalisez la définition des programmes de révision, la réalisation de diagnostics pannes, la planification des interventions, la centralisation des déclarations d'accident.Vous assurez la gestion technique des véhicules et engins en locations, le suivi technique (pannes, entretiens) et le suivi de facturation des pannes.Vous gérez le secteur d'activité en définissant les besoins de fonctionnement et vous participez à l'élaboration du budget, vous planifiez le renouvellement du parc véhicules, vous gérez les crédits affectés et suivi des factures, vous préparez les commandes et prenez en charge l'aménagement des véhicules, vous réalisez le bilan des consommations de carburant et des coûts de fonctionnement. Vous veillez au respect strict de la sécurité.Vous assurez la gestion des contrôles réglementaires, la veille technologique et vous apportez votre expertise dans votre domaine d'activité, aide à la décision, conseil et alerte auprès des acteurs concernés, apport avis sur les choix techniques et formation des nouveaux arrivants.Lieu de travail : Pôle Assainissement -  64 quai Emilie Cormerais 44800 Saint Herblain","Vous connaissez les différentes technologies, outils de diagnostic et de réparation. Vous avez des connaissances en matière d’électricité véhicules, hydraulique.Vous avez des connaissances en marchés publics et budget.Vous êtes passionné·e par la mécanique, détenez le sens du service public. Vous appréciez travailler en équipe, en transversalité et développer vos compétences.Enfin, vous êtes reconnue·e pour vos qualités d’analyse, d’organisation et de rigueur, vous savez gérer les priorités et prendre des décisions."
1720689394-139,Infirmier H/F,Infirmier H/F,Réf. : 2024-9311,Infirmier H/F,"Rattaché·e à l’infirmier·ère coordinateur·rice, vous serez en charge de veiller à la prise en charge individualisée des résident·e·s en assurant un rôle de coordination d’équipe et vous contribuez à l’élaboration des plans d’actions dans le domaine des soins.
 
Intégré·e au sein d’une structure, vous faites le lien avec les différentes équipes en collaborant au projet de vie d’établissement et en participant à la réflexion et à la mise en œuvre des objectifs de l’EHPAD.Vos missions s'orientent autour des axes suivants :
- Interlocuteur·rice du médecin coordonnateur·rice, vous prenez en charge les résident·e·s en vous assurant de donner aux soins une dimension sociale, relationnelle et familiale.
 
- Sous la responsabilité de l’infirmier·ère cadre, vous encadrez l'équipe, vous répartissez auprès des auxiliaires de soins les tâches et vous évaluez la qualité des soins dispensés.

 - Vous concevez, gérez et utilisez le dossier de soins infirmiers (Netsoins).
 
- Vous identifiez les besoins en posant un diagnostic et formulez les objectifs de soins.

- Vous aidez aux soins de nursing, à la prise de repas au besoin. Vous participez à l’élaboration et à la prise en compte des régimes /plats particuliers.

- Vous assurez les relations avec les résident·e·s et leur famille ou entourage.Rémunération et avantages sociaux :Prime du service public, Titres de restauration, Comité d’œuvre sociale, aides aux familles... selon les critéres","Titulaire du diplôme d’état d’infirmier, vous possédez les connaissances techniques à l’exercice de ce métier, ainsi que des capacités de coordination d’équipe.

D’un relationnel facile, vous faites preuve d’écoute et de discrétion.

Vous disposez d’une expérience dans le secteur gérontologique.

Vous bénéficiez d’une aisance à l’utilisation des outils informatiques.Le poste vous intéresse, rejoignez-nous !"
1720689415-5,Chef d'équipe signalisation H/F,Chef d'équipe signalisation H/F,Réf. : 2024-9189,Chef d'équipe signalisation H/F,"Au sein du centre technique composé de 5 équipes techniques, le.la chef.fe d'équipe anime et supervise les activités de l'équipes de régie de signalisation, et participe à la maintenance de la signalisation sur le territoire du pôle, en collaboration avec les services de Nantes Métropole, les communes et les entreprises:● Encadrement d’une équipe chargée des travaux de signalisation horizontale, verticale, sur l’ensemble du pôle● Participation à l’élaboration et au suivi des programmes de travaux de signalisation● Organisation et suivi des campagnes de signalisation horizontale en régieSuivi et préparation de l'activité de signalisation par utilisation du logiciel Octave, demande de DICT,
● Travail en partenariat avec les autres équipes voirie du pôle, et services externes (mairies,associations...)● Surveillance du domaine public et veille sur le respect des consignes de sécurité● Renseignement des indicateurs d’activité et participation à l’établissement de bilan d’activité del’équipe● Instruction des demandes diverses des riverains ou usagers 8 h 00 – 12 h 00 & 13 h 30 – 17 h 00Variante RTT : 7h30 (1 jour/3 semaines)Quotité de temps : 100%","Vous avez l'expérience de management d'équipe techniqueVous avez les connaissances de la réglementation des techniques de signalisation routière permanente et temporaireVous avez les connaissances des techniques de voirie et réseaux divers

Vous avez la pratique des outils bureautiques courants et la pratique des logiciels spécifiques (Pivert, Octave) serait apprécié"
1720689415-140,Cuisinier·ère·s H/F,Cuisinier·ère·s H/F,Réf. : 2024-9738,Cuisinier·ère·s H/F,"Nous recherchons des cuisinier·ère·s pour Les EHPAD de la Ville de Nantes : 

Vous assistez le chef de cuisine, dans le respect des règles d’hygiène et de sécurité, à :Préparer les repas en veillant à l’état de conservation des produits et à l’équilibre alimentaire,Assurer l’hygiène générale de la cuisine et des locaux annexes,Gérer les stocks, établir les bons de commandes, réceptionner et ranger les marchandises.Vos missions s'articuleront autour des axes suivants :- Préparation des repas :
Composition des menus équilibrés en collaboration avec le Chef de cuisine, l’encadrante hébergement et l’infirmière ;Confection des repas : épluchage des légumes et des fruits, mise en cuisson, préparations spécifiques (mixage de produits, jus de fruits), présentation attrayante des platsMise en conservation des produits dans le respect des températures exigées.Préparation des plateaux et chariots des résidents servis en chambre.
- Respect des conditions d’hygiène et de sécurité alimentaire et entretien de la cuisine :
Application stricte et rigoureuse de la méthode HACCP1 en vigueur dans les cuisines de collectivité et, notamment, prise en compte des observations lors des inspections des services vétérinaires.Entretien quotidien de la cuisine, de la réserve.Nettoyage des matériels utilisés.Maintien en bon état de fonctionnement des matériels, signalement des défections et des usures, évaluation des besoins de renouvellement de matériels.Gestion des marchandises (remplace le chef de cuisine en son absence) :Etablissement des commandes en prenant en compte les éléments : de gestion, suivi du budget alimentaire, cahiers des charges applicables aux différents fournisseurs (délais de livraison, exigence qualité, liste de produits).Réception des marchandises : contrôle de la quantité et de la qualité des produits, rangement et étiquetage des produits, transmission des bons de livraison.Gestion des stocks : suivi des stocks en fonction de l’évaluation de la consommation, contrôle des dates de péremption, suivi auprès des fournisseursIntégration dans la vie de l’établissement et participation aux réunions :Transmission des consignes aux agents de service pour la chaine de restaurationParticipation aux commissions menus en présence des résidents.Contribution à la mise en œuvre du projet de vie des résidents, en concertation avec l’ensemble du personnel de l’établissement.

Vous travaillez dans le respect des conditions d'hygiène et de sécurité","Vous êtes titulaire d'un diplôme en cuisine (CAP, BEP…)Vous maîtrisez les techniques et savoir-faire de cuisinier·ère, adaptés aux personnes âgées.Vous avez une connaissance approfondie des règles d'hygiène des locaux et de la méthode HACCP1.Vous aimez le travail d'équipe, l'organisation, la gestion et des responsabilitésVous êtes doté·e de bonnes capacités d'adaptation au fonctionnement de l’établissement et aux aléasVous êtes rigoureux·se et organisé·e et avez le sens des responsabilités Ces missions vous intéressent, rejoignez-nous!"
